D,bs_T,ebs_T,op_T,bs_time,ebs_time,op_time
100,6.0,6.0,6.0,0.04327166666431973,0.035349866661514774,0.0015528666699538007
367,15.333333333333334,15.333333333333334,15.333333333333334,0.21230536666310704,0.15090886666439474,0.008305866673860388
635,24.0,24.0,24.0,0.5474873666632144,0.38460913333498564,0.01914313333206034
902,32.666666666666664,32.666666666666664,32.666666666666664,1.1026096333371243,0.6277085000037914,0.030355599999893457
1169,41.0,41.0,41.0,2.0551628999965033,1.4566161000014592,0.050962466673809104
1436,50.0,50.0,50.0,2.972211433336876,1.7281046666660889,0.05952970000604788
1704,58.0,58.0,58.0,4.121936700001243,2.0410832000003816,0.0901745333345995
1971,66.0,66.0,66.0,5.8287278333348995,2.6711839666725914,0.10419253333141872
2238,75.0,75.0,75.0,13.756488500002888,7.129987600002399,0.2187589333334472
2506,85.0,85.0,85.0,25.909818399998283,16.77067039999626,0.28955683333818644
2773,93.66666666666667,93.66666666666667,93.66666666666667,33.2587728999982,15.342438400000296,0.3638602666712056
3040,102.0,102.0,102.0,35.265107300001546,17.647896766662598,0.36580203333384514
3307,110.0,110.0,110.0,42.72828679999899,10.312068033332858,0.4960723000015908
3575,118.66666666666667,118.66666666666667,118.66666666666667,30.742703499995212,15.541424033333897,0.3456287666679903
3842,126.66666666666667,126.66666666666667,126.66666666666667,66.29204353333141,20.43120606666101,0.40239506667421665
