D,bs_T,ebs_T,op_T,bs_time,ebs_time,op_time,trial
100,6,6,6,0.03942470000765752,0.03794349999225233,0.0018360000103712082,0
100,6,6,6,0.05057449999731034,0.03283949999604374,0.001328400001511909,1
100,6,6,6,0.03981579998799134,0.03526659999624826,0.001494199997978285,2
367,16,16,16,0.21957709999696817,0.14763829999719746,0.009737700005644001,0
367,14,14,14,0.20808609999949113,0.16137129999697208,0.006787100006476976,1
367,16,16,16,0.20925289999286178,0.14371699999901466,0.008392800009460188,2
635,24,24,24,0.5565951999888057,0.40600980000454,0.022938599999179132,0
635,23,23,23,0.5590417000057641,0.41625209999619983,0.015643899998394772,1
635,25,25,25,0.5268251999950735,0.33156550000421703,0.018846899998607114,2
902,32,32,32,1.1715835000068182,0.6393505000014557,0.03436150000197813,0
902,32,32,32,1.1385459000011906,0.5752286000060849,0.025430099994991906,1
902,34,34,34,0.9976995000033639,0.6685464000038337,0.031275200002710335,2
1169,40,40,40,2.263353999995161,1.5857094999955734,0.06556330001330934,0
1169,40,40,40,2.0330882999987807,1.4264483000006294,0.03871030001027975,1
1169,43,43,43,1.8690463999955682,1.3576905000081751,0.048613799997838214,2
1436,48,48,48,3.17166300000099,2.2040133999980753,0.06577099999412894,0
1436,50,50,50,3.139975600002799,1.4679171000025235,0.04353010001068469,1
1436,52,52,52,2.604995700006839,1.512383499997668,0.06928800001333002,2
1704,56,56,56,4.598512099997606,1.7544933000026504,0.09026230000017677,0
1704,59,59,59,4.09194739999657,2.245048800003133,0.06617710000136867,1
1704,59,59,59,3.6753506000095513,2.123707499995362,0.11408420000225306,2
1971,64,64,64,6.5841657999990275,2.2509057000133907,0.11026739999942947,0
1971,68,68,68,5.3722841999988304,2.5679159999999683,0.08308739999483805,1
1971,66,66,66,5.5297335000068415,3.1947302000044147,0.11922279999998864,2
2238,74,74,74,9.947443700002623,1.8806924000091385,0.1204662000091048,0
2238,76,76,76,16.013639500000863,16.270760400002473,0.1985555999999633,1
2238,75,75,75,15.308382300005178,3.2385099999955855,0.3372549999912735,2
2506,86,86,86,31.102416900001117,19.740605599989067,0.2946471000032034,0
2506,84,84,84,23.14803050000046,13.006025299997418,0.19025610000244342,1
2506,85,85,85,23.47900779999327,17.56538030000229,0.38376730000891257,2
2773,95,95,95,40.582097599995905,26.087160800001584,0.3162420000007842,0
2773,92,92,92,29.793999300003634,10.322837500003516,0.31524190001073293,1
2773,94,94,94,29.40022179999505,9.617316899995785,0.4600969000020996,2
3040,102,102,102,48.75694380000641,15.559252799997921,0.3445722000033129,0
3040,100,100,100,36.84304710000288,18.635188499989454,0.30432809999911115,1
3040,104,104,104,20.19533099999535,18.749249000000418,0.44850579999911133,2
3307,111,111,111,47.39504649999435,9.076272899998003,0.4204798999999184,0
3307,108,108,108,43.53546070000448,14.490937399998074,0.35674760000256356,1
3307,111,111,111,37.25435319999815,7.3689938000024995,0.7109894000022905,2
3575,120,120,120,35.19534459999704,9.442309200007003,0.2171888000011677,0
3575,117,117,117,23.992404999997234,13.178542900001048,0.21709269999701064,1
3575,119,119,119,33.040360899991356,24.00341999999364,0.6026048000057926,2
3842,127,127,127,82.58651169999212,27.72450279998884,0.38739460000942927,0
3842,126,126,126,83.43745460000355,25.736114299987094,0.4723991000064416,1
3842,127,127,127,32.85216429999855,7.833001100007095,0.3473915000067791,2
